Attraction,CityName,Country,AttractionType,VisitCount,AverageRating,RecommendationScore
Waterbom Bali,Douala,United Kingdom,Water Parks,585,4.702564102564103,0.9156086631814786
Waterbom Bali,Douala,Australia,Water Parks,3523,4.652284984388306,0.9115758028379388
Waterbom Bali,Douala,New Zealand,Water Parks,323,4.693498452012384,0.90739357729649
Waterbom Bali,Douala,Indonesia,Water Parks,463,4.628509719222462,0.9020164301717699
Waterbom Bali,Douala,United States,Water Parks,250,4.684,0.8992531740104555
Bromo Tengger Semeru National Park,South Region,Indonesia,National Parks,206,4.679611650485437,0.8935026138909634
Waterbom Bali,Douala,Singapore,Water Parks,230,4.595652173913043,0.8823002240477968
Waterbom Bali,Douala,India,Water Parks,133,4.593984962406015,0.8674383868558625
Nusa Dua Beach,Douala,Indonesia,Beaches,181,4.530386740331492,0.8672143390589993
Tanah Lot Temple,Douala,India,Religious Sites,419,4.463007159904534,0.8664675130694548
Sacred Monkey Forest Sanctuary,Douala,Canada,Nature & Wildlife Areas,614,4.408794788273616,0.8651232262882748
Sacred Monkey Forest Sanctuary,Douala,United States,Nature & Wildlife Areas,1968,4.391260162601626,0.8642270351008214
Waterbom Bali,Douala,Netherlands,Water Parks,57,4.771929824561403,0.862808065720687
Waterbom Bali,Douala,South Africa,Water Parks,65,4.707692307692308,0.8617625093353249
Waterbom Bali,Douala,Canada,Water Parks,64,4.703125,0.8607916355489171
Sacred Monkey Forest Sanctuary,Douala,United Kingdom,Nature & Wildlife Areas,2216,4.34115523465704,0.859596713965646
Uluwatu Temple,Douala,Indonesia,Religious Sites,279,4.426523297491039,0.8545182972367438
Uluwatu Temple,Douala,India,Religious Sites,337,4.3916913946587535,0.8537714712471993
Mount Semeru Volcano,South Region,Indonesia,Volcanos,44,4.75,0.8462285287528006
Nusa Dua Beach,Douala,India,Beaches,197,4.406091370558376,0.8430171769977595
Ullen Sentalu Museum,N'Djamena,United States,History Museums,228,4.37719298245614,0.8410754294249441
Tanah Lot Temple,Douala,Indonesia,Religious Sites,219,4.3881278538812785,0.8406273338312173
Nusa Dua Beach,Douala,United Kingdom,Beaches,250,4.344,0.8398058252427184
Sacred Monkey Forest Sanctuary,Douala,Turkey,Nature & Wildlife Areas,43,4.6976744186046515,0.8382374906646752
Sacred Monkey Forest Sanctuary,Douala,Indonesia,Nature & Wildlife Areas,599,4.290484140233723,0.8377893950709485
Uluwatu Temple,Douala,Malaysia,Religious Sites,209,4.349282296650718,0.8353995519044064
