TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,VisitModeID,VisitMode,CityName,Country,Region,Continent,VisitDate,RatingCategory,VisitYearMonth,UserVisitCount,AttractionVisitCount,AttractionAverageRating,AttractionPopularity,RatingScore,VisitYearGroup,UserAverageRating,CityVisitCount
3,70456,2022,10,640,5,5,21,163,4341.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-10-01,High,2022-10,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,40.0
8,7567,2022,10,640,5,2,8,48,464.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Canada,Northern America,America,2022-10-01,High,2022-10,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,11.0
9,79069,2022,10,640,5,2,9,54,774.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Brazil,South America,America,2022-10-01,High,2022-10,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,3.0
10,31019,2022,10,640,3,5,17,135,583.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Switzerland,Central Europe,Europe,2022-10-01,Average,2022-10,2,13198,4.267085922109411,Highly Popular,0.6,After 2020,3.0,80.0
15,43611,2022,10,640,3,5,21,163,1396.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-10-01,Average,2022-10,3,13198,4.267085922109411,Highly Popular,0.6,After 2020,3.0,204.0
18,43471,2022,10,640,5,2,8,51,1806.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United States,Northern America,America,2022-10-01,High,2022-10,2,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,205.0
22,76492,2022,9,640,4,1,2,9,31.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Tanzania,East Africa,Africa,2022-09-01,High,2022-09,2,13198,4.267085922109411,Highly Popular,0.8,After 2020,4.0,4.0
23,20977,2022,10,640,5,5,21,163,8258.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2022-10-01,High,2022-10,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,79.0
28,18655,2022,9,640,3,1,4,22,114.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,South Africa,Southern Africa,Africa,2022-09-01,Average,2022-09,1,13198,4.267085922109411,Highly Popular,0.6,After 2020,3.0,39.0
29,62907,2022,9,640,5,2,8,51,50.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United States,Northern America,America,2022-09-01,High,2022-09,14,13198,4.267085922109411,Highly Popular,1.0,After 2020,3.9285714285714284,48.0
31,86054,2022,9,640,5,5,21,163,8809.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-09-01,High,2022-09,6,13198,4.267085922109411,Highly Popular,1.0,After 2020,4.666666666666667,15.0
33,41979,2022,9,640,5,4,15,109,5365.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-09-01,High,2022-09,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,2.0
39,38726,2022,9,640,3,4,16,115,5506.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,New Zealand,Oceania,Australia & Oceania,2022-09-01,Average,2022-09,4,13198,4.267085922109411,Highly Popular,0.6,After 2020,3.75,160.0
43,67147,2022,8,640,4,5,21,163,818.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-08-01,High,2022-08,4,13198,4.267085922109411,Highly Popular,0.8,After 2020,4.5,72.0
44,2307,2022,9,640,4,4,15,109,4303.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-09-01,High,2022-09,2,13198,4.267085922109411,Highly Popular,0.8,After 2020,4.0,254.0
45,3660,2022,9,640,5,4,15,109,4398.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-09-01,High,2022-09,2,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,2.0
46,50130,2022,9,640,3,5,21,163,8513.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2022-09-01,Average,2022-09,1,13198,4.267085922109411,Highly Popular,0.6,After 2020,3.0,118.0
54,30450,2022,8,640,4,5,21,163,5264.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-08-01,High,2022-08,1,13198,4.267085922109411,Highly Popular,0.8,After 2020,4.0,18.0
56,82637,2022,7,640,4,4,15,109,3687.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Australia,Australia,Australia & Oceania,2022-07-01,High,2022-07,1,13198,4.267085922109411,Highly Popular,0.8,After 2020,4.0,991.0
61,33716,2022,7,640,5,3,12,89,2617.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,United Arab Emirates,Middle East,Asia,2022-07-01,High,2022-07,2,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,80.0
64,46517,2022,8,640,1,5,21,163,8366.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United Kingdom,Western Europe,Europe,2022-08-01,Low,2022-08,1,13198,4.267085922109411,Highly Popular,0.2,After 2020,1.0,1.0
66,50127,2022,8,640,5,3,12,88,2607.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Turkey,Middle East,Asia,2022-08-01,High,2022-08,2,13198,4.267085922109411,Highly Popular,1.0,After 2020,4.0,3.0
67,61876,2022,8,640,5,1,4,22,191.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,South Africa,Southern Africa,Africa,2022-08-01,High,2022-08,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,20.0
68,16769,2022,6,640,5,5,18,138,693.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Georgia,Eastern Europe,Europe,2022-06-01,High,2022-06,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,425.0
69,9804,2022,7,640,4,4,15,109,535.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-07-01,High,2022-07,5,13198,4.267085922109411,Highly Popular,0.8,After 2020,3.4,1510.0
72,44419,2022,7,640,5,5,21,163,9057.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-07-01,High,2022-07,5,13198,4.267085922109411,Highly Popular,1.0,After 2020,4.0,18.0
73,84531,2022,7,640,5,4,15,109,1434.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-07-01,High,2022-07,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,2225.0
75,83915,2022,7,640,5,3,14,101,3226.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Indonesia,South East Asia,Asia,2022-07-01,High,2022-07,1,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,3.0
76,62742,2022,7,640,4,4,15,109,3915.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-07-01,High,2022-07,1,13198,4.267085922109411,Highly Popular,0.8,After 2020,4.0,842.0
77,47615,2022,7,640,5,3,13,93,2690.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,India,South Asia,Asia,2022-07-01,High,2022-07,2,13198,4.267085922109411,Highly Popular,1.0,After 2020,5.0,322.0
