TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,VisitModeID,VisitMode,CityName,Country,Region,Continent,VisitDate,RatingCategory,VisitYearMonth
3,70456,2022,10,640,5,5,21,163,4341,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-10-01,High,2022-10
8,7567,2022,10,640,5,2,8,48,464,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Canada,Northern America,America,2022-10-01,High,2022-10
9,79069,2022,10,640,5,2,9,54,774,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Brazil,South America,America,2022-10-01,High,2022-10
10,31019,2022,10,640,3,5,17,135,583,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Switzerland,Central Europe,Europe,2022-10-01,Average,2022-10
15,43611,2022,10,640,3,5,21,163,1396,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-10-01,Average,2022-10
18,43471,2022,10,640,5,2,8,51,1806,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United States,Northern America,America,2022-10-01,High,2022-10
22,76492,2022,9,640,4,1,2,9,31,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Tanzania,East Africa,Africa,2022-09-01,High,2022-09
23,20977,2022,10,640,5,5,21,163,8258,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2022-10-01,High,2022-10
28,18655,2022,9,640,3,1,4,22,114,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,South Africa,Southern Africa,Africa,2022-09-01,Average,2022-09
29,62907,2022,9,640,5,2,8,51,50,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United States,Northern America,America,2022-09-01,High,2022-09
31,86054,2022,9,640,5,5,21,163,8809,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-09-01,High,2022-09
33,41979,2022,9,640,5,4,15,109,5365,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-09-01,High,2022-09
39,38726,2022,9,640,3,4,16,115,5506,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,New Zealand,Oceania,Australia & Oceania,2022-09-01,Average,2022-09
43,67147,2022,8,640,4,5,21,163,818,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-08-01,High,2022-08
44,2307,2022,9,640,4,4,15,109,4303,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-09-01,High,2022-09
45,3660,2022,9,640,5,4,15,109,4398,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2022-09-01,High,2022-09
46,50130,2022,9,640,3,5,21,163,8513,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2022-09-01,Average,2022-09
54,30450,2022,8,640,4,5,21,163,5264,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2022-08-01,High,2022-08
56,82637,2022,7,640,4,4,15,109,3687,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Australia,Australia,Australia & Oceania,2022-07-01,High,2022-07
61,33716,2022,7,640,5,3,12,89,2617,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,United Arab Emirates,Middle East,Asia,2022-07-01,High,2022-07
64,46517,2022,8,640,1,5,21,163,8366,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United Kingdom,Western Europe,Europe,2022-08-01,Low,2022-08
66,50127,2022,8,640,5,3,12,88,2607,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Turkey,Middle East,Asia,2022-08-01,High,2022-08
67,61876,2022,8,640,5,1,4,22,191,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,South Africa,Southern Africa,Africa,2022-08-01,High,2022-08
